9165,1418
9166,1418-2152
9167,AVCRM6/60
9168,AVCRM6/60-2155
9169,AVOINT6/120
9170,AVAG500
9171,AVAG500-2162
9172,AVOINT5/60
9173,AVAG200
9174,ESANI/100
9175,ESANI/100-2177
9176,ESANI/10
9177,ESANI/30
9178,AK100
9179,AK100-2182
9180,AK1LTR
9181,AK250
9182,AK500
9183,AK5KG
9184,AVOIL6/100
9186,AC100
9188,AC100-1178
9189,AVOINT6/120-1180
9191,AVOINT6/60
9192,AVOIL7/100
9194,ARGS3
9195,AVOIL7/100-1197
9197,AVOINT5/120
9198,AVOINT5/120-2231
9200,AV100
9202,IS_RITUAL
9203,GBALCHO06U
9204,ESBAS/100
9206,BWW1KG
9207,AVOIL8/100
9209,ESBAY/100
9210,ESBAY/100-2267
9212,BWW100
9213,BWW100-2274
9215,ESBEN/100
9217,ESBER/100
9220,BC100
9222,FRBMK/100
9224,ESBLP/100
9226,FRBLB/10
9229,FRBLU/100
9231,AVOIL7/200
9232,AVOINT5/60-1246
9233,AVOINT7/60
9235,BR50
9236,BR100
9238,AVCRM6/120
9240,AVBBB1
9241,AVBBB1-2342
9242,AVBBB5
9244,FRBMK/10-1263
9245,FRBMK/10-2351
9246,FRBLB/10-2352
9247,FRBLU/10
9248,FRCHE/10
9249,FRCHG/10
9250,FRCHR/10
9251,FRCIN/10
9252,FRCOC/10
9253,FRERO/10
9254,FREUC/10
9255,FRFRM/10
9256,FRFRE/10
9257,FRGRK/10
9258,FRJAS/10
9259,FRLAV/10
9260,FRLEM/10
9261,FRLIL/10
9262,FRORA/10
9263,FRPAT/10
9264,FRPEP/10
9265,FRPIN/10
9266,FRPOT/10
9267,FRREL/10
9268,FRROS/10
9269,FRSAN/10
9270,FRSEA/10
9271,FRSOO/10
9272,FRSPI/10
9273,FRSTI/10
9274,FRSSP/10
9275,FRSUM/10
9276,FRSWP/10
9277,FRTIB/10
9278,FRVAN/10
9279,FRCUT/10
9280,FRWHM/10
9281,FRWSP/10
9282,FRYYL/10
9283,SGDEW
9284,FRCAP/10
9285,FRFNK/10
9286,FRLIM/10
9287,FRMYR/10
9288,ESCAJ/100
9290,AVOINT13/60
9292,CD100
9294,CRCAL/50
9295,CM100
9297,ESCAM/100
9299,ESCDM/10
9300,FRBMK/10-2424
9301,FRBMK/30-2425
9303,ESCRT/100
9305,CT100
9307,AVOIL10/10
9309,ESCED/100
9311,AVOIL11/100
9312,AVOIL11/100-2457
9313,AVOIL11/250
9314,AVOIL11/50
9315,ESCEL/100
9318,AN169
9319,ESCHB/10
9321,ESCHR/10
9323,FRCHE/10-1315
9325,AVOIL12/100
9327,FRCHG/10-1321
9329,FRCHR/100
9331,SGCOR
9332,ESCIN/100
9334,FRCIN/100
9336,ESCIT/100
9338,SGCIT
9339,ESCLS/100
9342,ESCLL/100
9344,AVCB1KG
9346,FRCOC/100
9348,CC100
9350,AVOIL22/100
9351,AVOINT4/60
9352,CF100
9354,AVOINT3/120
9356,IF172
9357,ESCOR/100
9359,AVAG60
9361,FRCRB/10
9363,AVOIL13/10
9365,ESCYP/100
9367,AVCRM4/60
9368,AVCRM4/60-1388
9371,AVOIL22/100-1395
9373,CRARN/100
9375,AVANI3/10
9377,AVOINT11/120
9379,AVANI5/250
9380,AVANI6/250
9381,AVANI7/250
9382,WC_80124
9383,AVCRM21/120
9385,AVCRM21/60
9387,AVOIL14/100
9388,AVOIL14/100-1427
9389,AVOIL14/100-2674
9391,AVOIL32/10
9392,AVCRM21/60-1431
9393,AVOIL14/100-1433
9395,AVOINT7/120
9397,AVOIL15/100
9398,FRERO/100
9400,ESTTR/10R
9401,FREUC/100
9403,ESEUC/100
9405,EPO100
9407,AVCRM1/60
9409,GC_110
9410,ESFSW/100
9412,CMGF
9413,IS_II50-FO-1489
9415,PK405
9416,FRLAV/10-1496
9418,FRFRM/100
9420,ESFRK/100
9422,FRFRE/100
9424,010
9425,079
9426,130
9427,151
9428,157
9429,166
9430,169
9431,AVOINT12/120
9433,ESGER/100
9435,AGB08
9436,ESGIN/100
9438,GS100
9440,GS100-1828
9442,FRGRK/100
9444,ESGRF/100
9446,AVCRM6/120-1831
9450,AVOINT17/120
9452,HZ100
9454,AVOIL17/10
9455,AVOIL17/10-3375
9456,AVOIL17/10-3376
9457,AVOIL17/30
9458,DNGQR09
9459,DNGQR09-3384
9460,DNGQR09-3385
9461,HP100
9463,AVOIL18/10
9465,AVOIL19/10
9467,AVOIL22/100-1876
9469,CRARN/100-1877
